,Rank,Country Code,Country/Territory,Capital,Continent,2023 Population,2022 Population,2021 Population,2020 Population,2015 Population,2010 Population,2000 Population,Area (km²),Density (per km²),Growth Rate (2023),World Population Percentage (2023)
53,204,DMA,Dominica,Roseau,North America,"73,040",72737,"72,167",71995,70007,68755,68346,751,96.8535,0.42%,0%
54,84,DOM,Dominican Republic,Santo Domingo,North America,"11,312,378",11228821,"11,015,774",10999664,10405832,9775755,8540791,48671,230.7087,0.93%,0.14%
55,15,COD,DR Congo,Kinshasa,Africa,,99010212,,92853164,78656904,66391257,48616317,2344858,42.2244,,
56,67,ECU,Ecuador,Quito,South America,"18,151,871",18001000,"18,033,738",17588595,16195902,14989585,12626507,276841,65.0229,1.05%,0.23%
57,14,EGY,Egypt,Cairo,Africa,"112,362,003",110990103,"105,390,688",107465134,97723799,87252413,71371371,1002450,110.7188,1.56%,1.41%
58,112,SLV,El Salvador,San Salvador,North America,"6,358,508",6336392,"6,537,250",6292731,6231066,6114034,5958482,21041,301.145,0.45%,0.08%
59,152,GNQ,Equatorial Guinea,Malabo,Africa,"1,706,305",1674908,"1,477,483",1596049,1346973,1094524,684977,28051,59.7094,2.37%,0.02%
60,132,ERI,Eritrea,Asmara,Africa,"3,735,386",3684032,"3,633,796",3555868,3340006,3147727,2392880,117600,31.3268,1.76%,0.05%
61,156,EST,Estonia,Tallinn,Europe,"1,323,409",1326062,"1,324,323",1329444,1314657,1331535,1396877,45227,29.3201,-0.25%,0.02%
62,159,SWZ,Eswatini,Mbabane,Africa,,1201670,,1180655,1133936,1099920,1030496,17364,69.2047,,
63,12,ETH,Ethiopia,Addis Ababa,Africa,"125,878,364",123379924,"119,590,501",117190911,102471895,89237791,67031867,1104300,111.7268,2.55%,1.58%
64,231,FLK,Falkland Islands,Stanley,South America,"3,791",3780,"3,533",3747,3408,3187,3080,12173,0.3105,0.29%,FLK
65,209,FRO,Faroe Islands,Tórshavn,Europe,"53,270",53090,"49,049",52415,48816,48410,45660,1393,38.112,0.34%,0%
66,162,FJI,Fiji,Suva,Oceania,"935,088",929766,"906,570",920422,917200,905169,832509,18272,50.8847,0.71%,0.01%
