Rank,Country/Territory,2023 Population,2022 Population,2021 Population,2020 Population,2015 Population,2010 Population,2000 Population,Growth Rate (2023)
210,Northern Mariana Islands,49796,49551,57917,49587,51514,54087,80338,0.49
120,Norway,5465994,5434319,5492570,5379839,5190356,4889741,4491202,0.74
127,Oman,4630226,4576298,5296006,4543399,4191776,2881914,2344253,1.49
5,Pakistan,239523554,235824862,227724796,227196741,210969298,194454498,154369924,1.98
222,Palau,18058,18055,18169,17972,17794,18540,19726,0.02
122,Palestine,5346132,5250072,5293440,5019401,4484614,3992278,3139954,2.31
128,Panama,4455860,4408581,4420589,4294396,3957099,3623617,3001731,1.35
93,Papua_New_Guinea,10291962,10142619,9220306,9749640,8682174,7583269,5508297,1.85
109,Paraguay,6844148,6780744,7270717,6618695,6177950,5768613,5123819,1.19
44,Peru,34285146,34049588,33587011,33304756,30711863,29229572,26654439,0.89
13,Philippines,116976338,115559009,111913102,112190977,103031365,94636700,77958223,1.54
37,Poland,41210122,39857145,37764461,38428366,38553146,38597353,38504431,2.93
92,Portugal,10252753,10270865,10150252,10298192,10365435,10588401,10300626,-0.23
136,Puerto Rico,3258383,3252407,2806918,3271564,3497335,3717922,3827108,0.24
143,Qatar,2711886,2695122,2962425,2760385,2414573,1713504,645937,0.79
114,Republic of the Congo,0,5970424,0,5702174,5064386,4437884,3134030,0
161,Reunion,980509,974052,905350,957822,922495,890130,785424,0.8
64,Romania,19959097,19659267,19062255,19442038,19906079,20335211,21919876,1.19
9,Russia,144546040,144713314,145899956,145617329,144668389,143242599,146844839,-0.19
76,Rwanda,14029685,13776698,13466174,13146362,11642959,10309031,8109989,2.31
228,Saint Barthelemy,10994,10967,9907,10681,9643,8988,7082,0.25
211,Saint_Kitts_and_Nevis,0,47657,0,47642,47790,47403,45461,0
190,Saint_Lucia,180251,179857,184831,179237,175623,170935,159500,0.22
220,Saint_Martin,32077,31791,39234,32552,35020,36458,29610,0.9
229,Saint_Pierre_and_Miquelon,0,5862,0,5906,5978,6052,6274,0
199,Saint_Vincent_and_the_Grenadines,0,103948,0,104632,106482,109308,113813,0
188,Samoa,225037,222382,201011,214929,203571,194672,184008,1.48
218,San_Marino,33642,33660,34017,34007,33570,31608,26823,-0.05
187,Sao_Tome_and_Principe,0,227380,0,218641,201124,182138,143714,0
41,Saudi_Arabia,36838265,36408820,35659227,35997107,32749848,29411929,21547390,1.48
72,Senegal,17670492,17316449,17462688,16436119,14356181,12530121,9704287,2.58
105,Serbia,7161948,7221365,8674489,7358005,7519496,7653748,7935022,-1
196,Seychelles,107660,107118,99124,105530,99240,92409,80060,0.51
102,Sierra_Leone,8753123,8605718,8238113,8233969,7314773,6436698,4584067,2.15
113,Singapore,6007000,5975689,5925135,5909869,5650018,5163590,4053602,0.65
214,Sint_Maarten,44222,44175,43412,43621,40205,33034,30489,0.11
116,Slovakia,5816436,5643453,5460937,5456681,5424444,5396424,5376690,2.69
148,Slovenia,2119675,2119844,2078724,2117641,2080862,2057286,1984339,-0.01
166,Solomon_Islands,737206,724273,714126,691191,612660,540394,429978,2.23
70,Somalia,18030114,17597511,16634297,16537016,13763906,12026649,8721465,3.1
24,South_Africa,60303161,59893885,60474550,58801927,55876504,51784921,46813266,0.87
29,South_Korea,51791782,51815810,51331264,51844690,50994401,48813042,46788591,-0.06
86,South_Sudan,11051470,10913164,11493450,10606227,11194299,9714419,6114440,1.61
30,Spain,47528638,47558630,46736811,47363807,46431342,46572772,40741651,-0.08
61,Sri_Lanka,21881995,21832143,21547096,21715079,21336697,20668557,18776371,0.28
32,Sudan,47855448,46874204,45532863,44440486,38171178,33739933,26298773,2.63
170,Suriname,621949,618040,594817,607065,575475,546080,478998,0.84
87,Sweden,10599215,10549347,10196161,10368969,9849349,9381729,8871043,0.59
101,Switzerland,8785085,8740472,8752564,8638613,8281732,7822435,7182059,0.64
60,Syria,22995980,22125249,18646187,20772595,19205178,22337563,16307654,4.98
57,Taiwan,23917484,23893394,23877855,23821464,23512136,23083083,22194731,0.13
95,Tajikistan,10104930,9952787,9873338,9543207,8524063,7621779,6272998,1.92
22,Tanzania,67037819,65497748,62539416,61704518,52542823,45110527,34463704,2.96
20,Thailand,71781973,71697030,70039646,71475664,70294397,68270489,63066603,0.15
155,Timor-Leste,0,1341296,0,1299995,1205813,1088486,878360,0
100,Togo,9011968,8848699,8596357,8442580,7473229,6571855,5008035,2.32
233,Tokelau,1893,1871,1373,1827,1454,1367,1666,1.18
197,Tonga,107773,106858,107407,105254,106122,107383,102603,0.86
153,Trinidad_and_Tobago,0,1531044,0,1518147,1460177,1410296,1332203,0
79,Tunisia,12435699,12356117,12003225,12161723,11557779,10895063,9893316,0.83
18,Turkey,85724172,85341241,85484777,84135428,79646178,73195345,64113547,0.56
111,Turkmenistan,6499368,6430770,6168788,6250438,5766431,5267970,4569132,1.33
212,Turks_and_Caicos Islands,0,45703,0,44276,36538,29726,18744,0
227,Tuvalu,11396,11312,11931,11069,10877,10550,9638,0.74
31,Uganda,48310113,47249585,47942521,44404611,37477356,32341728,24020697,2.82
38,Ukraine,36469195,39701739,43312073,43909666,44982564,45683020,48879755,-7.45
97,United_Arab_Emirates,9501426,9441129,10051436,9287289,8916899,8481771,3275333,0.8
21,United_Kingdom,67690467,67508936,68401087,67059474,65224364,62760039,58850043,0.34
3,United_States,339622662,338289857,334058426,335942003,324607776,311182845,282398554,0.5
200,United_States_Virgin_Islands,98750,99465,104010,100442,102803,106142,108185,-0.72
133,Uruguay,3423108,3422794,3491832,3429086,3402818,3352651,3292224,0.01
43,Uzbekistan,35057115,34627652,34207969,33526656,30949417,28614227,24925554,1.55
181,Vanuatu,333219,326740,318774,311685,276438,245453,192074,2.38
234,Vatican_City,518,510,800,520,564,596,651,1.57
51,Venezuela,28723304,28301696,28842889,28490453,30529716,28715022,24427729,1.9
16,Vietnam,98725092,98186856,98655916,96648685,92191398,87411012,79001142,0.68
226,Wallis_and_Futuna,0,11572,0,11655,12182,13142,14723,0
172,Western_Sahara,584685,575986,620280,556048,491824,413296,270375,1.96
46,Yemen,34295374,33696614,30882462,32284046,28516545,24743946,18628700,2.24
63,Zambia,20455185,20017675,19238117,18927715,16248230,13792086,9891136,2.76
74,Zimbabwe,16593332,16320537,15229891,15669666,14154937,12839771,11834676,2.11
